,device_id,date_hour,bytes_up,bytes_down,log_bytes_up,log_bytes_down,date_hour_filtered,q4_device,q4_stat,q4_field,q4_stat_down_value,q4_stat_up_value
107262,30819359.0,2021-09-29 21:00:00,56998.51982378856,1463187.4181818182,4.755871197097801,6.165300254838758,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107263,30819359.0,2021-09-29 21:01:00,52707.6,1723922.5915492957,4.7218814810157665,6.236518012936552,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107264,30819359.0,2021-09-29 21:02:00,63032.32653061225,1653904.2424242424,4.799570227255186,6.218510623795045,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107265,30819359.0,2021-09-29 21:07:00,60504.32369942196,1583728.0533333332,4.781793588727901,6.199680883877665,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107266,30819359.0,2021-09-29 21:12:00,61706.520547945205,1759337.459854015,4.790338096503857,6.2453493966530385,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107267,30819359.0,2021-09-29 21:22:00,59224.942675159225,2851699.746835443,4.772511981937846,6.455103949364634,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107268,30819359.0,2021-09-29 21:26:00,54670.77777777778,1711849.5774647887,4.737763196198596,6.233465853673722,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107269,30819359.0,2021-09-29 21:28:00,61209.42056074767,1673164.8955223882,4.786825363432933,6.22353900368687,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107270,30819359.0,2021-09-29 21:29:00,59784.55813953489,1877691.2727272727,4.776596288038825,6.273624419023233,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107271,30819359.0,2021-09-29 21:30:00,56043.1746031746,1690237.9682539685,4.748530477427402,6.227948110091331,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107272,30819359.0,2021-09-29 21:32:00,58707.15151515151,1637930.08,4.7686984063969495,6.214295623794725,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107273,30819359.0,2021-09-29 21:33:00,52024.46376811594,1757274.6285714288,4.716215960311553,6.244839885900165,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107274,30819359.0,2021-09-29 21:34:00,61006.838709677424,1683561.7049180327,4.785385639759033,6.226229296484573,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107275,30819359.0,2021-09-29 21:35:00,55089.789473684206,1536218.9866666666,4.7410789960365625,6.186453411108585,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107276,30819359.0,2021-09-29 21:38:00,53793.86666666667,1685869.84,4.730740835430229,6.226824298862876,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107277,30819359.0,2021-09-29 21:39:00,53446.470588235294,1601225.3134328355,4.727927156961727,6.204452718383344,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107278,30819359.0,2021-09-29 21:42:00,57973.97014925372,1698423.7611940296,4.763240533696092,6.2300463127474055,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107279,30819359.0,2021-09-29 21:45:00,64444.7374301676,2875329.6842105263,4.80919419753462,6.458687798962767,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107280,30819359.0,2021-09-29 21:51:00,59976.575163398695,2193388.1403508773,4.777988903663539,6.341115688911666,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
107281,30819359.0,2021-09-29 21:59:00,57866.6046511628,2516996.064516129,4.762435505720855,6.400882709046499,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
270524,81291122.0,2021-09-29 21:00:00,5026.866666666667,2044.8539325842687,3.701383752168512,3.3108746232484982,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
270525,81291122.0,2021-09-29 21:05:00,20850.236559139787,3258459.267605634,4.319131815419447,6.513012429746278,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
270526,81291122.0,2021-09-29 21:07:00,30475.375,2188096.6821705424,4.483963308759378,6.340066706089502,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
270527,81291122.0,2021-09-29 21:08:00,35207.37662337662,2347100.516129032,4.546646001220061,6.370531873979168,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
270528,81291122.0,2021-09-29 21:11:00,28403.835616438355,1617520.9142857145,4.453392280285331,6.208850173228769,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
270529,81291122.0,2021-09-29 21:12:00,49991.43434343435,2261456.279069768,4.698904284905819,6.354388387952153,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
