,log_bytes_up,log_bytes_up,log_bytes_up
,var,mean,std
date_hour,,,
2021-09-06 00:00:00,3.602699557123735,1.4894847335315178,1.8980778585515756
2021-09-06 01:00:00,2.7051356441046,1.0061682249162127,1.6447296568447352
2021-09-06 02:00:00,2.426906789356337,0.8732756500429025,1.5578532631016109
2021-09-06 03:00:00,2.3435828385859674,0.8369972740534076,1.53087649357679
2021-09-06 04:00:00,2.3760392855530466,0.826201333962892,1.5414406526211273
2021-09-06 05:00:00,2.1742675798428643,0.785047365171124,1.474539785778215
2021-09-06 06:00:00,2.727634817514606,1.0056253234671564,1.6515552723159481
2021-09-06 07:00:00,3.3338905802546117,1.2787899123257838,1.825894460327489
2021-09-06 08:00:00,4.007512699284991,1.4905404970099574,2.0018772937632794
2021-09-06 09:00:00,4.555989051275265,2.0070171431240933,2.134476294381192
2021-09-06 10:00:00,4.4549438005828925,2.0678087920830763,2.1106737788163503
2021-09-06 11:00:00,4.212321145239891,2.655412959517185,2.052394003411599
2021-09-06 12:00:00,3.7810593203895104,2.7463099935647133,1.9444946182464764
2021-09-06 13:00:00,3.9983724097731153,2.7270168841643785,1.9995930610434502
2021-09-06 14:00:00,4.196516059166815,2.3364843672408893,2.0485399823207784
2021-09-06 15:00:00,4.425435951698789,2.274666422183803,2.1036720161894986
2021-09-06 16:00:00,3.5732951565362567,2.6101058313594394,1.890316152535405
2021-09-06 17:00:00,3.275679933375414,2.846454237296932,1.809883955776009
2021-09-06 18:00:00,3.293774031605755,3.0014710338380968,1.814875762030491
2021-09-06 19:00:00,3.507382135078375,3.064539596958306,1.8728006127397478
2021-09-06 20:00:00,3.274532987209707,2.8233130022800883,1.809567071763218
2021-09-06 21:00:00,3.052456641587317,2.9842607686061813,1.7471281125284766
2021-09-06 22:00:00,3.224041860829221,2.7871357730416477,1.7955617117852622
2021-09-06 23:00:00,4.1442254204880475,2.61045693730018,2.035737070568802
2021-09-07 00:00:00,4.09248190616028,1.9793874882911908,2.0229883603620364
2021-09-07 01:00:00,3.3176929339239853,1.414991765895965,1.8214535223068375
2021-09-07 02:00:00,2.6493849274436716,0.9942210775697686,1.6276931306126692
2021-09-07 03:00:00,2.138342625884829,0.7223860533865802,1.4623072952990521
2021-09-07 04:00:00,1.514616121026322,0.5808561862317615,1.230697412456174
2021-09-07 05:00:00,1.7291823005511833,0.6401693140216959,1.314983764367904
2021-09-07 06:00:00,2.076649490371643,0.7887026710442943,1.4410584618160511
2021-09-07 07:00:00,2.199899118887817,0.9830336033591779,1.483205690013296
2021-09-07 08:00:00,3.299119966078376,1.4239798413990257,1.8163479749426805
2021-09-07 09:00:00,3.5050956787058674,1.6697254252987683,1.8721900754746745
2021-09-07 10:00:00,3.70940847651968,1.8326558968363054,1.9259824704601234
2021-09-07 11:00:00,3.885883549786612,2.018051658243187,1.971264454553628
2021-09-07 12:00:00,4.030186394995403,2.1570113618016555,2.0075324144320565
2021-09-07 13:00:00,3.8841124009838444,2.2947450378375365,1.9708151615470804
2021-09-07 14:00:00,3.4906688784234143,2.4720752119209464,1.868333181855799
2021-09-07 15:00:00,3.4767916468975266,2.3937990895092116,1.86461568343118
2021-09-07 16:00:00,3.221572621773067,2.3271644440480963,1.7948739849284872
2021-09-07 17:00:00,3.114557485116524,2.708650704991749,1.7648108921684849
2021-09-07 18:00:00,3.1063898696638605,2.9216383220224547,1.7624953530900047
2021-09-07 19:00:00,3.228245120313246,2.9874003574235424,1.796731788641044
2021-09-07 20:00:00,3.2142437692988874,2.961596261089397,1.7928312160654967
2021-09-07 21:00:00,2.965648418290817,3.006592100222471,1.7221058092610968
2021-09-07 22:00:00,3.817638334088074,2.539876455209058,1.9538777684614956
2021-09-07 23:00:00,4.072059964436387,2.0956561349434457,2.0179345788296477
2021-09-08 00:00:00,4.1681903111535075,2.1166266349554763,2.0416146333609357
2021-09-08 01:00:00,4.123492048590925,1.817246828706198,2.030638335250993
2021-09-08 02:00:00,3.8012855503859404,1.4851475291350646,1.9496885777954234
2021-09-08 03:00:00,3.259772584934965,1.1753981539718716,1.805484030650774
2021-09-08 04:00:00,2.812056859292318,1.0239726361990737,1.6769188588874293
2021-09-08 05:00:00,2.4415088656493578,0.9167515024551194,1.5625328366627556
2021-09-08 06:00:00,2.4137055878948965,0.9781768394528776,1.553610500703087
2021-09-08 07:00:00,3.341808238863275,1.4108263494415518,1.8280613334522655
2021-09-08 08:00:00,3.572413190071131,1.538535129266684,1.8900828527001483
2021-09-08 09:00:00,4.073267130519981,1.9611276234863653,2.0182336659861715
2021-09-08 10:00:00,4.3425881916320535,2.4102464559637737,2.083887758885313
2021-09-08 11:00:00,4.299188087786945,2.526075663389293,2.0734483566722717
2021-09-08 12:00:00,4.0598523291264375,2.7575030738151907,2.014907523715775
2021-09-08 13:00:00,3.752573652081549,2.772493502861315,1.9371560732376596
2021-09-08 14:00:00,3.757378399361773,2.6492674177578253,1.9383958314445926
2021-09-08 15:00:00,3.782729587586489,2.6238716170311784,1.9449240570229185
2021-09-08 16:00:00,3.5790295902294877,2.445284087183538,1.8918323367120797
2021-09-08 17:00:00,3.6838775391686696,2.5500378261245,1.9193429967488014
2021-09-08 18:00:00,3.4741342471453547,2.798592645804885,1.8639029607641473
2021-09-08 19:00:00,3.696969876395448,2.689059617238241,1.9227506017150138
2021-09-08 20:00:00,3.6496843131152135,2.8200145456814787,1.9104146966340092
2021-09-08 21:00:00,2.8569878389936405,2.9242064708450553,1.6902626538481056
2021-09-08 22:00:00,3.323100129893176,2.4983370501318594,1.8229372259880963
