,datasets,chi,G,p-value-G,k,same-date-hour
0,"[1, 5]",1680.6236637901325,-816.6893180669352,1.0,13,False
1,"[2, 6]",1680.6236637901325,-816.6893180669352,1.0,13,False
2,"[3, 7]",163527.88716035223,16330.111320490412,0.0,14,False
3,"[4, 8]",1680.6236637901325,-816.6893180669352,1.0,13,False
